id,event_datetime,duration,title,state,created_by_profile_id,price_per_person,city,created_at,event_type,area_code,uuid,total_paid,event_date,event_time,reservations_total,reservations_accepted_total,reservations_rejected_total,reservations_pending_total,guests_total,guests_accepted,guests_rejected,guests_pending,monetization_calculation,community_dinner
1661,,3600,Welcome Weekend!,published,976,,,43:27.5,private,NY,0d07ef14-6d99-4c39-90d1-024db30de0c9,0,8/5/2016,20:00:00,11,11,0,0,12,12,0,0,t,f
1607,,78300,Steph's Friends,published,399,,,31:53.8,private,NY,0e7822c0-ea95-4b88-809b-0c6ccec7a514,0,7/22/2016,23:15:00,7,7,0,0,7,7,0,0,t,f
114,3/5/2016 2:30,10800,Whole 30 Shabat,published,133,,Portland,34:49.7,public,OTHER,2c1e1af9-c37c-4746-a9f3-64b44a240080,0,3/4/2016,21:30:07,2,2,0,0,2,2,0,0,t,f
1699,,7200,"A Little Nosh, A Little Drosh",published,8216,1500,,01:58.5,private,CHICAGO,388c802b-68a7-4331-9782-e7e42978a2b1,0,8/12/2016,19:00:00,3,0,0,3,4,0,0,4,t,f
2037,,18000,BBQ,published,9137,,,20:15.1,private,NY,96e06084-5966-4f15-96fb-854d04da2a17,0,8/19/2016,17:00:00,12,12,0,0,18,18,0,0,t,f
1523,00:51.3,10800,Most Smartest Shabbat,published,5533,,,41:10.0,private,CHICAGO,85623533-4fe5-40c7-867a-4df88b67b46a,0,7/29/2016,19:00:00,8,8,0,0,8,8,0,0,t,f
1402,7/15/2016 23:00,10800,Our Table - Shabbat in the Sky,published,6443,,,06:29.8,private,NY,9a350b48-adb4-4dd6-bdf5-09a5c387003d,0,7/15/2016,19:00:00,13,9,4,0,14,10,4,0,t,f
2162,,7200,Friday Dinner,published,2065,,,34:36.1,private,NY,456a0b3d-fffb-47f7-b893-d0bc30d6ffbd,0,9/2/2016,20:00:00,8,8,0,0,8,8,0,0,t,f
1593,,7200,IFF L&R reunion,published,1971,,,29:28.9,private,OTHER,c4520da8-a3ff-4896-8fb8-3d9599f6f618,0,7/15/2016,19:00:00,0,0,0,0,0,0,0,0,t,f
1597,,7200,Julie's 1st Shabbat Dinner (on the UWS),published,7570,,,27:38.7,private,NY,23a8aecf-511c-46af-aac4-12930e641ce0,0,7/15/2016,19:00:00,3,3,0,0,3,3,0,0,t,f
1554,,7200,Shabbat Picnic in the Park,published,102,,,44:38.7,manual_approval,CHICAGO,fb2dd438-e5a5-46d3-b173-c477464386dd,0,7/15/2016,19:00:00,11,10,0,1,12,11,0,1,t,f
1747,,10800,Birthday Cocktail and Dinner Party!,published,8274,,,34:21.1,private,NY,fcf61dcb-28a9-48af-a8b0-9dfabcee95a2,0,7/29/2016,20:00:00,9,9,0,0,9,9,0,0,t,f
1417,30:01.5,5400,Olympic Dinner,published,240,,,45:26.9,private,NY,37a09781-c292-42f6-83fd-8a5d9907306d,0,8/5/2016,19:30:00,9,9,0,0,10,10,0,0,t,f
